relative_path,sha256,size_bytes,problem,adaptive_rho,alpha_mode,selection,epoch,validation_mean_iterations,validation_mean_rho_updates,batch_size,n_train,n_val,n_epochs,stage_length,alpha_min,alpha_max,hidden_dim,n_layers,dtype,precision,feature_normalization
learned_osqp/checkpoints_arc/0324_control_fixed/best_model_control_fixed_nx100_dseed0_precision=low_adaptive_rho=False_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,39ff2d909c59c78198b0c4f94942a23359496b20d53a4976589b3283c0f32bad,49017,control_fixed,False,scalar,best_iter,350,757.625,,10,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_control_fixed/best_model_control_fixed_nx100_dseed0_precision=low_adaptive_rho=False_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,7983ca77cfddd84c7551d5899ea18b8ed309641f247ac6262bf55d4fc4973be0,52729,control_fixed,False,vector,best_iter,463,754.75,,10,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_control_fixed/best_model_control_fixed_nx100_dseed0_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,222d0905bbe9f2f2099343aa018657e2ae55d06e3ce0e18b35a8a987b3498c26,48999,control_fixed,True,scalar,best_iter,17,126.375,,10,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_control_fixed/best_model_control_fixed_nx100_dseed0_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence_best_rho.pt,f3109123e9bee9d0d3f1774e5f7a52c2f502916cd76015bcd88cdce662eb3d4e,49417,control_fixed,True,scalar,best_rho,32,139.625,1.1125,10,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_control_fixed/best_model_control_fixed_nx100_dseed0_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,cdbd4d1eee4c74daf9f36f60832b19c40fc01ce27a3c76be159f9f41e3273858,52711,control_fixed,True,vector,best_iter,23,134.125,,10,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_control_fixed/best_model_control_fixed_nx100_dseed0_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence_best_rho.pt,e35f9d8c0a9991e4140ba93d8cf5f20c5e1360af64ac1a26b421a5e71a986c91,53129,control_fixed,True,vector,best_rho,16,136.875,1.1125,10,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_control_precision=low_adaptive_rho=False_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,bed50461c39030b35a7d02cce7eac28e858f5d031b13e39920a5881e75931aa5,48547,control,False,scalar,best_iter,450,616.875,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_control_precision=low_adaptive_rho=False_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,b783a1d72b66813cb068615d5581d432d52ee9a798e5f56bb2e1f71cb375445a,52259,control,False,vector,best_iter,668,613.25,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_control_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,8651dfbe44239c8637ad9dbb24fe33afe8a308e468ffd62fa616b3323924ff2e,48529,control,True,scalar,best_iter,21,106.625,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_control_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence_best_rho.pt,0fb936cf8946a928679baa9a77d40e3fea624587995e17306bbb4d346e714b69,48755,control,True,scalar,best_rho,237,191.0,1.1,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_control_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,35aa6080fdb2c9057e703518c20198544765d5418108e8b4b79968a138769dde,52241,control,True,vector,best_iter,21,111.625,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_control_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence_best_rho.pt,bfd44ea4557f5e57b917eaafd809b8646d894d177a06da834377876a85e1d434,52467,control,True,vector,best_rho,172,147.875,1.0,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
