problem,nx,x0_seed,instance,solver,status,iter,rho_updates,obj_val
Control_fixed,100,240,0,OSQP_python_arho,optimal,148,1.0,15.701515751878397
Control_fixed,100,241,1,OSQP_python_arho,optimal,124,1.0,14.127459415923926
Control_fixed,100,242,2,OSQP_python_arho,optimal,76,1.0,12.160133194903825
Control_fixed,100,240,0,OSQP_python_no_arho,optimal,1250,0.0,15.639656610813908
Control_fixed,100,241,1,OSQP_python_no_arho,optimal,612,0.0,14.086798483319177
Control_fixed,100,242,2,OSQP_python_no_arho,optimal,387,0.0,12.152565705641278
Control_fixed,100,240,0,OSQP_python_neural_mlp_scalar_arho_best_iter,optimal,138,1.0,15.70204273204089
Control_fixed,100,241,1,OSQP_python_neural_mlp_scalar_arho_best_iter,optimal,115,1.0,14.127681402404
Control_fixed,100,242,2,OSQP_python_neural_mlp_scalar_arho_best_iter,optimal,89,1.0,12.154133717150406
Control_fixed,100,240,0,OSQP_python_neural_mlp_scalar_arho_best_rho,optimal,135,1.0,15.702056835815206
Control_fixed,100,241,1,OSQP_python_neural_mlp_scalar_arho_best_rho,optimal,110,1.0,14.127795089838694
Control_fixed,100,242,2,OSQP_python_neural_mlp_scalar_arho_best_rho,optimal,141,1.0,12.165786328078855
Control_fixed,100,240,0,OSQP_python_neural_mlp_vector_arho_best_iter,optimal,128,1.0,15.659099419490506
Control_fixed,100,241,1,OSQP_python_neural_mlp_vector_arho_best_iter,optimal,111,1.0,14.127692733347285
Control_fixed,100,242,2,OSQP_python_neural_mlp_vector_arho_best_iter,optimal,89,1.0,12.15414652500057
Control_fixed,100,240,0,OSQP_python_neural_mlp_vector_arho_best_rho,optimal,130,1.0,15.657756859436612
Control_fixed,100,241,1,OSQP_python_neural_mlp_vector_arho_best_rho,optimal,116,1.0,14.127734576028908
Control_fixed,100,242,2,OSQP_python_neural_mlp_vector_arho_best_rho,optimal,73,1.0,12.167861403246809
Control_fixed,100,240,0,OSQP_python_neural_mlp_scalar_no_arho_best_iter,optimal,1029,0.0,15.6397942903758
Control_fixed,100,241,1,OSQP_python_neural_mlp_scalar_no_arho_best_iter,optimal,504,0.0,14.086710005624209
Control_fixed,100,242,2,OSQP_python_neural_mlp_scalar_no_arho_best_iter,optimal,320,0.0,12.152591036698633
Control_fixed,100,240,0,OSQP_python_neural_mlp_vector_no_arho_best_iter,optimal,1026,0.0,15.639749509809036
Control_fixed,100,241,1,OSQP_python_neural_mlp_vector_no_arho_best_iter,optimal,502,0.0,14.086804682565491
Control_fixed,100,242,2,OSQP_python_neural_mlp_vector_no_arho_best_iter,optimal,317,0.0,12.152539043207812
